backnumber,player_id,team_id,position,birthday,profile
22,Andrew McCutchen,PIT,Outfielder,10/10/1986,"178cm, 86kg"
67,Braxton Ashcraft,PIT,Pitcher,10/05/1999,"196cm, 100kg"
10,Bryan Reynolds,PIT,Outfielder,01/27/1995,"188cm, 93kg"
57,Bubba Chandler,PIT,Pitcher,09/14/2002,"190cm, 99kg"
34,Cam Devanney,PIT,Shortstop,04/13/1997,"185cm, 88kg"
50,Carmen Mlodzinski,PIT,Pitcher,02/19/1999,"188cm, 100kg"
36,Dauri Moreta,PIT,Pitcher,04/15/1996,"188cm, 102kg"
60,Dennis Santana,PIT,Pitcher,04/12/1996,"188cm, 86kg"
51,Evan Sisk,PIT,Pitcher,04/23/1997,"188cm, 95kg"
32,Henry Davis,PIT,Catcher,09/21/1999,"183cm, 102kg"
72,Isaac Mattson,PIT,Pitcher,07/14/1995,"188cm, 98kg"
19,Jared Triolo,PIT,Shortstop,02/08/1998,"190cm, 95kg"
3,Ji Hwan Bae,PIT,Outfielder,07/26/1999,"180cm, 84kg"
14,Joey Bart,PIT,Catcher,12/15/1996,"190cm, 107kg"
24,Johan Oviedo,PIT,Pitcher,03/02/1998,"198cm, 125kg"
61,Justin Lawrence,PIT,Pitcher,11/25/1994,"190cm, 97kg"
66,Kyle Nicolas,PIT,Pitcher,02/22/1999,"190cm, 102kg"
31,Liover Peguero,PIT,Shortstop,12/31/2000,"185cm, 91kg"
53,Mike Burrows,PIT,Pitcher,11/08/1999,"185cm, 91kg"
23,Mitch Keller,PIT,Pitcher,04/04/1996,"190cm, 96kg"
39,Nick Gonzales,PIT,Second Base,05/27/1999,"175cm, 91kg"
38,Nick Yorke,PIT,Second Base,04/02/2002,"183cm, 95kg"
15,Oneil Cruz,PIT,Outfielder,10/04/1998,"201cm, 109kg"
30,Paul Skenes,PIT,Pitcher,05/29/2002,"198cm, 118kg"
2,Spencer Horwitz,PIT,First Base,11/14/1997,"180cm, 91kg"
28,Tommy Pham,PIT,Outfielder,03/08/1988,"185cm, 102kg"
49,Yohan Ramírez,PIT,Pitcher,05/06/1995,"190cm, 91kg"
50,Adrian Morejon,SD,Pitcher,02/27/1999,"180cm, 102kg"
29,Bryce Johnson,SD,Outfielder,10/27/1995,"183cm, 86kg"
84,Dylan Cease,SD,Pitcher,12/28/1995,"188cm, 91kg"
17,Elias Díaz,SD,Catcher,11/17/1990,"185cm, 101kg"
23,Fernando Tatis Jr.,SD,Outfielder,01/02/1999,"190cm, 98kg"
54,Freddy Fermin,SD,Catcher,05/16/1995,"178cm, 91kg"
30,Gavin Sheets,SD,Outfielder,04/23/1996,"190cm, 107kg"
38,JP Sears,SD,Pitcher,02/19/1996,"180cm, 82kg"
3,Jackson Merrill,SD,Outfielder,04/19/2003,"190cm, 88kg"
9,Jake Cronenworth,SD,Second Base,01/21/1994,"183cm, 85kg"
56,Jeremiah Estrada,SD,Pitcher,11/01/1998,"185cm, 84kg"
7,Jose Iglesias,SD,Second Base,01/05/1990,"180cm, 88kg"
68,Kyle Hart,SD,Pitcher,11/23/1992,"196cm, 91kg"
4,Luis Arraez,SD,First Base,04/09/1997,"178cm, 79kg"
13,Manny Machado,SD,Third Base,07/06/1992,"188cm, 99kg"
18,Mason McCoy,SD,Second Base,03/31/1995,"180cm, 84kg"
22,Mason Miller,SD,Pitcher,08/24/1998,"196cm, 91kg"
34,Michael King,SD,Pitcher,05/25/1995,"190cm, 95kg"
27,Nick Pivetta,SD,Pitcher,02/14/1993,"196cm, 95kg"
5,Ramón Laureano,SD,Outfielder,07/15/1994,"178cm, 92kg"
98,Randy Vásquez,SD,Pitcher,11/03/1998,"183cm, 75kg"
75,Robert Suarez,SD,Pitcher,03/01/1991,"188cm, 95kg"
97,Ron Marinaccio,SD,Pitcher,07/01/1995,"188cm, 93kg"
32,Ryan O'Hearn,SD,First Base,07/26/1993,"188cm, 100kg"
58,Wandy Peralta,SD,Pitcher,07/27/1991,"183cm, 103kg"
24,Will Wagner,SD,Third Base,07/29/1998,"183cm, 95kg"
11,Yu Darvish,SD,Pitcher,08/16/1986,"196cm, 100kg"
1,Yuki Matsui,SD,Pitcher,10/30/1995,"173cm, 75kg"
75,Andrés Muñoz,SEA,Pitcher,01/16/1999,"188cm, 101kg"
22,Bryan Woo,SEA,Pitcher,01/30/2000,"188cm, 93kg"
50,Bryce Miller,SEA,Pitcher,08/23/1998,"188cm, 91kg"
29,Cal Raleigh,SEA,Catcher,11/26/1996,"188cm, 107kg"
43,Caleb Ferguson,SEA,Pitcher,07/02/1996,"190cm, 102kg"
54,Carlos Vargas,SEA,Pitcher,10/13/1999,"193cm, 95kg"
64,Casey Legumina,SEA,Pitcher,06/19/1997,"188cm, 88kg"
2,Cole Young,SEA,Second Base,07/29/2003,"180cm, 82kg"
8,Dominic Canzone,SEA,Outfielder,08/16/1997,"183cm, 86kg"
83,Eduard Bazardo,SEA,Pitcher,09/01/1995,"183cm, 86kg"
26,Emerson Hancock,SEA,Pitcher,05/31/1999,"193cm, 97kg"
28,Eugenio Suárez,SEA,Third Base,07/18/1991,"180cm, 97kg"
55,Gabe Speier,SEA,Pitcher,04/12/1995,"180cm, 91kg"
68,George Kirby,SEA,Pitcher,02/04/1998,"193cm, 98kg"
5,Harry Ford,SEA,Catcher,02/21/2003,"178cm, 91kg"
3,J.P. Crawford,SEA,Shortstop,01/11/1995,"183cm, 92kg"
7,Jorge Polanco,SEA,Second Base,07/05/1993,"183cm, 94kg"
12,Josh Naylor,SEA,First Base,06/22/1997,"178cm, 107kg"
44,Julio Rodríguez,SEA,Outfielder,12/29/2000,"190cm, 103kg"
76,Leo Rivas,SEA,Second Base,10/10/1997,"173cm, 68kg"
36,Logan Gilbert,SEA,Pitcher,05/05/1997,"198cm, 98kg"
58,Luis Castillo,SEA,Pitcher,12/12/1992,"188cm, 91kg"
77,Luke Jackson,SEA,Pitcher,08/24/1991,"188cm, 95kg"
20,Luke Raley,SEA,Outfielder,09/19/1994,"190cm, 107kg"
47,Matt Brash,SEA,Pitcher,05/12/1998,"185cm, 78kg"
18,Mitch Garver,SEA,Catcher,01/15/1991,"185cm, 100kg"
56,Randy Arozarena,SEA,Outfielder,02/28/1995,"178cm, 84kg"
10,Victor Robles,SEA,Outfielder,05/19/1997,"183cm, 88kg"
21,Andrew Knizner,SF,Catcher,02/03/1995,"185cm, 102kg"
77,Carson Seymour,SF,Pitcher,12/16/1998,"198cm, 116kg"
10,Casey Schmitt,SF,Third Base,03/01/1999,"183cm, 100kg"
50,Christian Koss,SF,Second Base,01/27/1998,"185cm, 84kg"
7,Dominic Smith,SF,First Base,06/15/1995,"180cm, 102kg"
61,Drew Gilbert,SF,Outfielder,09/27/2000,"175cm, 88kg"
58,Grant McCray,SF,Outfielder,12/07/2000,"185cm, 86kg"
17,Heliot Ramos,SF,Outfielder,09/07/1999,"180cm, 104kg"
34,JT Brubaker,SF,Pitcher,11/17/1993,"190cm, 82kg"
63,Joel Peguero,SF,Pitcher,05/05/1997,"180cm, 88kg"
57,Joey Lucchesi,SF,Pitcher,06/06/1993,"196cm, 103kg"
70,José Buttó,SF,Pitcher,03/19/1998,"185cm, 92kg"
51,Jung Hoo Lee,SF,Outfielder,08/20/1998,"183cm, 89kg"
35,Justin Verlander,SF,Pitcher,02/20/1983,"196cm, 109kg"
66,Kai-Wei Teng,SF,Pitcher,12/01/1998,"193cm, 109kg"
67,Keaton Winn,SF,Pitcher,02/20/1998,"193cm, 106kg"
62,Logan Webb,SF,Pitcher,11/18/1996,"185cm, 101kg"
29,Luis Matos,SF,Outfielder,01/28/2002,"180cm, 94kg"
26,Matt Chapman,SF,Third Base,04/28/1993,"185cm, 102kg"
93,Matt Gage,SF,Pitcher,02/11/1993,"190cm, 120kg"
14,Patrick Bailey,SF,Catcher,05/29/1999,"183cm, 102kg"
16,Rafael Devers,SF,Designated Hitter,10/24/1996,"183cm, 107kg"
38,Robbie Ray,SF,Pitcher,10/01/1991,"188cm, 94kg"
74,Ryan Walker,SF,Pitcher,11/26/1995,"188cm, 96kg"
76,Spencer Bivens,SF,Pitcher,06/28/1994,"196cm, 98kg"
43,Tristan Beck,SF,Pitcher,06/24/1996,"193cm, 92kg"
2,Willy Adames,SF,Shortstop,09/02/1995,"183cm, 98kg"
41,Wilmer Flores,SF,First Base,08/06/1991,"190cm, 102kg"
41,Alec Burleson,STL,First Base,11/25/1998,"183cm, 102kg"
53,Andre Pallante,STL,Pitcher,09/18/1998,"183cm, 98kg"
33,Brendan Donovan,STL,Second Base,01/16/1997,"180cm, 95kg"
58,Chris Roycroft,STL,Pitcher,06/21/1997,"203cm, 104kg"
44,Gordon Graceffo,STL,Pitcher,03/17/2000,"193cm, 100kg"
48,Iván Herrera,STL,Catcher,06/01/2000,"180cm, 100kg"
8,Jimmy Crooks,STL,Catcher,07/19/2001,"183cm, 104kg"
59,JoJo Romero,STL,Pitcher,09/09/1996,"180cm, 98kg"
47,John King,STL,Pitcher,09/14/1994,"188cm, 98kg"
18,Jordan Walker,STL,Outfielder,05/22/2002,"198cm, 113kg"
56,Jorge Alcala,STL,Pitcher,07/28/1995,"190cm, 93kg"
62,Kyle Leahy,STL,Pitcher,06/04/1997,"196cm, 102kg"
21,Lars Nootbaar,STL,Outfielder,09/08/1997,"185cm, 93kg"
0,Masyn Winn,STL,Shortstop,03/21/2002,"175cm, 84kg"
49,Matt Svanson,STL,Pitcher,01/31/1999,"196cm, 107kg"
52,Matthew Liberatore,STL,Pitcher,11/06/1999,"193cm, 98kg"
36,Michael McGreevy,STL,Pitcher,07/08/2000,"193cm, 100kg"
39,Miles Mikolas,STL,Pitcher,08/23/1988,"193cm, 104kg"
27,Nathan Church,STL,Outfielder,07/12/2000,"178cm, 82kg"
16,Nolan Gorman,STL,Second Base,05/10/2000,"183cm, 102kg"
43,Pedro Pagés,STL,Catcher,09/17/1998,"180cm, 111kg"
55,Riley O'Brien,STL,Pitcher,02/06/1995,"193cm, 82kg"
64,Ryan Fernandez,STL,Pitcher,06/11/1998,"183cm, 91kg"
54,Sonny Gray,STL,Pitcher,11/07/1989,"178cm, 86kg"
25,Thomas Saggese,STL,Second Base,04/10/2002,"180cm, 84kg"
11,Victor Scott II,STL,Outfielder,02/12/2001,"180cm, 86kg"
40,Willson Contreras,STL,First Base,05/13/1992,"185cm, 109kg"
63,Yohel Pozo,STL,Catcher,06/14/1997,"180cm, 91kg"
37,Adrian Houser,TB,Pitcher,02/02/1993,"190cm, 110kg"
41,Bob Seymour,TB,First Base,10/07/1998,"190cm, 113kg"
8,Brandon Lowe,TB,Second Base,07/06/1994,"178cm, 86kg"
47,Bryan Baker,TB,Pitcher,12/02/1994,"198cm, 107kg"
7,Carson Williams,TB,Shortstop,06/25/2003,"188cm, 82kg"
14,Chandler Simpson,TB,Outfielder,11/18/2000,"180cm, 77kg"
24,Christopher Morel,TB,Outfielder,06/24/1999,"183cm, 91kg"
71,Cole Sulser,TB,Pitcher,03/12/1990,"183cm, 91kg"
57,Drew Rasmussen,TB,Pitcher,07/27/1995,"185cm, 109kg"
63,Edwin Uceta,TB,Pitcher,01/09/1998,"183cm, 95kg"
17,Eric Orze,TB,Pitcher,08/21/1997,"193cm, 93kg"
45,Everson Pereira,TB,Outfielder,04/10/2001,"180cm, 92kg"
60,Garrett Cleavinger,TB,Pitcher,04/23/1994,"185cm, 102kg"
22,Griffin Jax,TB,Pitcher,11/22/1994,"188cm, 88kg"
30,Hunter Feduccia,TB,Catcher,06/05/1997,"185cm, 98kg"
61,Ian Seymour,TB,Pitcher,12/13/1998,"183cm, 98kg"
28,Jake Mangum,TB,Outfielder,03/08/1996,"183cm, 86kg"
55,Joey Gerber,TB,Pitcher,05/03/1997,"193cm, 96kg"
15,Josh Lowe,TB,Outfielder,02/02/1998,"193cm, 100kg"
13,Junior Caminero,TB,Third Base,07/05/2003,"185cm, 100kg"
49,Kevin Kelly,TB,Pitcher,11/28/1997,"188cm, 88kg"
40,Nick Fortes,TB,Catcher,11/11/1996,"180cm, 90kg"
29,Pete Fairbanks,TB,Pitcher,12/16/1993,"198cm, 107kg"
1,Richie Palacios,TB,Outfielder,05/16/1997,"175cm, 84kg"
44,Ryan Pepiot,TB,Pitcher,08/21/1997,"190cm, 95kg"
11,Shane Baz,TB,Pitcher,06/17/1999,"190cm, 91kg"
10,Tristan Gray,TB,Third Base,03/22/1996,"185cm, 98kg"
2,Yandy Díaz,TB,First Base,08/08/1991,"185cm, 107kg"
19,Alejandro Osuna,TEX,Outfielder,10/10/2002,"175cm, 84kg"
58,Carl Edwards Jr.,TEX,Pitcher,09/03/1991,"190cm, 75kg"
55,Chris Martin,TEX,Pitcher,06/02/1986,"203cm, 102kg"
39,Cody Freeman,TEX,Third Base,01/05/2001,"173cm, 82kg"
60,Cole Winn,TEX,Pitcher,11/25/1999,"188cm, 86kg"
38,Dustin Harris,TEX,Outfielder,07/08/1999,"188cm, 84kg"
25,Dylan Moore,TEX,Second Base,08/02/1992,"183cm, 93kg"
20,Ezequiel Duran,TEX,Shortstop,05/22/1999,"178cm, 84kg"
41,Hoby Milner,TEX,Pitcher,01/13/1991,"190cm, 85kg"
35,Jack Leiter,TEX,Pitcher,04/21/2000,"185cm, 93kg"
67,Jacob Latz,TEX,Pitcher,04/08/1996,"188cm, 84kg"
71,Jacob Webb,TEX,Pitcher,08/15/1993,"188cm, 95kg"
48,Jacob deGrom,TEX,Pitcher,06/19/1988,"193cm, 82kg"
21,Jake Burger,TEX,First Base,04/10/1996,"183cm, 104kg"
4,Joc Pederson,TEX,First Base,04/21/1992,"185cm, 100kg"
28,Jonah Heim,TEX,Catcher,06/27/1995,"193cm, 100kg"
6,Josh Jung,TEX,Third Base,02/12/1998,"185cm, 97kg"
8,Josh Smith,TEX,Shortstop,08/07/1997,"175cm, 78kg"
11,Kyle Higashioka,TEX,Catcher,04/20/1990,"183cm, 92kg"
57,Luis Curvelo,TEX,Pitcher,10/21/2000,"185cm, 77kg"
23,Merrill Kelly,TEX,Pitcher,10/14/1988,"188cm, 92kg"
24,Michael Helman,TEX,Outfielder,05/23/1996,"183cm, 88kg"
46,Patrick Corbin,TEX,Pitcher,07/19/1989,"193cm, 102kg"
88,Phil Maton,TEX,Pitcher,03/25/1993,"188cm, 93kg"
62,Robert Garcia,TEX,Pitcher,06/14/1996,"193cm, 107kg"
44,Rowdy Tellez,TEX,First Base,03/16/1995,"193cm, 122kg"
43,Shawn Armstrong,TEX,Pitcher,09/11/1990,"188cm, 102kg"
36,Wyatt Langford,TEX,Outfielder,11/15/2001,"183cm, 102kg"
47,Addison Barger,TOR,Third Base,11/12/1999,"183cm, 95kg"
30,Alejandro Kirk,TOR,Catcher,11/06/1998,"173cm, 111kg"
0,Andrés Giménez,TOR,Second Base,09/04/1998,"180cm, 73kg"
63,Braydon Fisher,TOR,Pitcher,07/26/2000,"193cm, 82kg"
54,Brendon Little,TOR,Pitcher,08/11/1996,"188cm, 88kg"
40,Chris Bassitt,TOR,Pitcher,02/22/1989,"196cm, 98kg"
5,Daulton Varsho,TOR,Outfielder,07/02/1996,"173cm, 94kg"
36,Davis Schneider,TOR,Outfielder,01/26/1999,"175cm, 86kg"
56,Eric Lauer,TOR,Pitcher,06/03/1995,"190cm, 95kg"
22,Ernie Clement,TOR,Third Base,03/22/1996,"180cm, 77kg"
4,George Springer,TOR,Outfielder,09/19/1989,"185cm, 100kg"
7,Isiah Kiner-Falefa,TOR,Shortstop,03/23/1995,"178cm, 88kg"
23,Jeff Hoffman,TOR,Pitcher,01/08/1993,"196cm, 107kg"
10,Joey Loperfido,TOR,Outfielder,05/11/1999,"188cm, 100kg"
17,José Berríos,TOR,Pitcher,05/27/1994,"183cm, 93kg"
34,Kevin Gausman,TOR,Pitcher,01/06/1991,"188cm, 93kg"
77,Louis Varland,TOR,Pitcher,12/09/1997,"185cm, 93kg"
31,Max Scherzer,TOR,Pitcher,07/27/1984,"190cm, 94kg"
3,Myles Straw,TOR,Outfielder,10/17/1994,"175cm, 81kg"
38,Nathan Lukes,TOR,Outfielder,07/12/1994,"180cm, 82kg"
35,Ryan Borucki,TOR,Pitcher,03/31/1994,"193cm, 95kg"
48,Seranthony Domínguez,TOR,Pitcher,11/25/1994,"185cm, 102kg"
57,Shane Bieber,TOR,Pitcher,05/31/1995,"190cm, 91kg"
45,Tommy Nance,TOR,Pitcher,03/19/1991,"198cm, 107kg"
2,Ty France,TOR,First Base,07/13/1994,"180cm, 98kg"
55,Tyler Heineman,TOR,Catcher,06/19/1991,"178cm, 86kg"
27,Vladimir Guerrero Jr.,TOR,First Base,03/16/1999,"183cm, 111kg"
29,Yariel Rodríguez,TOR,Pitcher,03/10/1997,"183cm, 75kg"
16,Austin Martin,MIN,Outfielder,03/23/1999,"180cm, 84kg"
17,Bailey Ober,MIN,Pitcher,07/12/1995,"206cm, 118kg"
2,Brooks Lee,MIN,Third Base,02/14/2001,"185cm, 93kg"
25,Byron Buxton,MIN,Outfielder,12/18/1993,"188cm, 86kg"
60,Carson McCusker,MIN,Outfielder,05/22/1998,"203cm, 113kg"
66,Cody Laweryson,MIN,Pitcher,05/10/1998,"193cm, 93kg"
44,Cole Sands,MIN,Pitcher,07/17/1997,"190cm, 98kg"
47,Edouard Julien,MIN,Second Base,04/30/1999,"183cm, 88kg"
92,Génesis Cabrera,MIN,Pitcher,10/10/1996,"188cm, 82kg"
43,James Outman,MIN,Outfielder,05/14/1997,"188cm, 98kg"
65,Jhonny Pereda,MIN,Catcher,04/18/1996,"185cm, 92kg"
41,Joe Ryan,MIN,Pitcher,06/05/1996,"188cm, 93kg"
18,Kody Clemens,MIN,Second Base,05/15/1996,"183cm, 91kg"
55,Kody Funderburk,MIN,Pitcher,11/27/1996,"193cm, 104kg"
15,Luke Keaschall,MIN,Second Base,08/15/2002,"183cm, 86kg"
38,Matt Wallner,MIN,Outfielder,12/12/1997,"193cm, 100kg"
39,Michael Tonkin,MIN,Pitcher,11/19/1989,"201cm, 100kg"
11,Mickey Gasper,MIN,Second Base,10/11/1995,"178cm, 93kg"
49,Pablo López,MIN,Pitcher,03/07/1996,"193cm, 102kg"
62,Pierson Ohl,MIN,Pitcher,09/10/1999,"185cm, 82kg"
23,Royce Lewis,MIN,Third Base,06/05/1999,"183cm, 91kg"
53,Ryan Fitzgerald,MIN,Third Base,06/17/1994,"178cm, 84kg"
24,Simeon Woods Richardson,MIN,Pitcher,09/27/2000,"190cm, 95kg"
26,Taj Bradley,MIN,Pitcher,03/20/2001,"188cm, 100kg"
56,Thomas Hatch,MIN,Pitcher,09/29/1994,"185cm, 88kg"
45,Travis Adams,MIN,Pitcher,01/19/2000,"185cm, 89kg"
9,Trevor Larnach,MIN,Outfielder,02/26/1997,"190cm, 101kg"
52,Zebby Matthews,MIN,Pitcher,05/22/2000,"196cm, 102kg"
27,Aaron Nola,PHI,Pitcher,06/04/1993,"188cm, 91kg"
16,Brandon Marsh,PHI,Outfielder,12/18/1997,"188cm, 98kg"
3,Bryce Harper,PHI,First Base,10/16/1992,"188cm, 95kg"
5,Bryson Stott,PHI,Second Base,10/06/1997,"185cm, 91kg"
61,Cristopher Sánchez,PHI,Pitcher,12/12/1996,"198cm, 91kg"
30,David Robertson,PHI,Pitcher,04/09/1985,"180cm, 88kg"
18,Donovan Walton,PHI,Second Base,05/25/1994,"178cm, 86kg"
33,Edmundo Sosa,PHI,Second Base,03/06/1996,"183cm, 95kg"
21,Garrett Stubbs,PHI,Catcher,05/26/1993,"178cm, 77kg"
2,Harrison Bader,PHI,Outfielder,06/03/1994,"180cm, 95kg"
10,J.T. Realmuto,PHI,Catcher,03/18/1991,"183cm, 96kg"
44,Jesús Luzardo,PHI,Pitcher,09/30/1997,"183cm, 99kg"
59,Jhoan Duran,PHI,Pitcher,01/08/1998,"196cm, 104kg"
12,Kyle Schwarber,PHI,Outfielder,03/05/1993,"180cm, 104kg"
57,Lou Trivino,PHI,Pitcher,10/01/1991,"196cm, 105kg"
25,Matt Strahm,PHI,Pitcher,11/12/1991,"188cm, 86kg"
17,Max Kepler,PHI,Outfielder,02/10/1993,"193cm, 102kg"
60,Max Lazar,PHI,Pitcher,06/03/1999,"185cm, 91kg"
8,Nick Castellanos,PHI,Outfielder,03/04/1992,"190cm, 92kg"
50,Orion Kerkering,PHI,Pitcher,04/04/2001,"188cm, 93kg"
4,Otto Kemp,PHI,First Base,09/09/1999,"180cm, 84kg"
13,Rafael Marchán,PHI,Catcher,02/25/1999,"175cm, 77kg"
55,Ranger Suárez,PHI,Pitcher,08/26/1995,"185cm, 98kg"
99,Taijuan Walker,PHI,Pitcher,08/13/1992,"193cm, 107kg"
58,Tanner Banks,PHI,Pitcher,10/24/1991,"185cm, 93kg"
54,Tim Mayza,PHI,Pitcher,01/15/1992,"190cm, 98kg"
31,Walker Buehler,PHI,Pitcher,07/28/1994,"188cm, 84kg"
37,Weston Wilson,PHI,Outfielder,09/11/1994,"190cm, 98kg"
48,Alexis Díaz,ATL,Pitcher,09/28/1996,"188cm, 102kg"
55,Bryce Elder,ATL,Pitcher,05/19/1999,"188cm, 100kg"
51,Chris Sale,ATL,Pitcher,03/30/1989,"198cm, 82kg"
61,Connor Seabold,ATL,Pitcher,01/24/1996,"188cm, 86kg"
34,Dane Dunning,ATL,Pitcher,12/20/1994,"193cm, 102kg"
30,Drake Baldwin,ATL,Catcher,03/28/2001,"185cm, 102kg"
46,Dylan Dodd,ATL,Pitcher,06/06/1998,"188cm, 95kg"
52,Dylan Lee,ATL,Pitcher,08/01/1994,"190cm, 97kg"
36,Eli White,ATL,Outfielder,06/26/1994,"190cm, 88kg"
9,Ha-Seong Kim,ATL,Shortstop,10/17/1995,"178cm, 91kg"
65,Hunter Stratton,ATL,Pitcher,11/17/1996,"193cm, 102kg"
64,Hurston Waldrep,ATL,Pitcher,03/01/2002,"188cm, 95kg"
16,Jake Fraley,ATL,Outfielder,05/25/1995,"180cm, 93kg"
33,Joey Wentz,ATL,Pitcher,10/06/1997,"196cm, 100kg"
7,Jurickson Profar,ATL,Outfielder,02/20/1993,"180cm, 83kg"
20,Marcell Ozuna,ATL,Designated Hitter,11/12/1990,"185cm, 102kg"
28,Matt Olson,ATL,First Base,03/29/1994,"193cm, 102kg"
23,Michael Harris II,ATL,Outfielder,03/07/2001,"183cm, 88kg"
67,Nacho Alvarez Jr.,ATL,Shortstop,04/11/2003,"178cm, 86kg"
2,Nick Allen,ATL,Shortstop,10/08/1998,"173cm, 75kg"
1,Ozzie Albies,ATL,Second Base,01/07/1997,"170cm, 75kg"
38,Pierce Johnson,ATL,Pitcher,05/10/1991,"188cm, 92kg"
26,Raisel Iglesias,ATL,Pitcher,01/04/1990,"188cm, 86kg"
13,Ronald Acuña Jr.,ATL,Outfielder,12/18/1997,"183cm, 93kg"
8,Sandy León,ATL,Catcher,03/13/1989,"178cm, 107kg"
99,Spencer Strider,ATL,Pitcher,10/28/1998,"183cm, 88kg"
45,Tyler Kinley,ATL,Pitcher,01/31/1991,"193cm, 100kg"
17,Vidal Bruján,ATL,Third Base,02/09/1998,"175cm, 82kg"
23,Andrew Benintendi,CWS,Outfielder,07/06/1994,"178cm, 84kg"
53,Brandon Eisert,CWS,Pitcher,01/19/1998,"188cm, 95kg"
27,Brooks Baldwin,CWS,Outfielder,08/15/2000,"185cm, 88kg"
10,Chase Meidroth,CWS,Shortstop,07/23/2001,"178cm, 86kg"
12,Colson Montgomery,CWS,Shortstop,02/27/2002,"190cm, 104kg"
29,Curtis Mead,CWS,First Base,10/26/2000,"185cm, 102kg"
65,Davis Martin,CWS,Pitcher,01/04/1997,"188cm, 98kg"
5,Dominic Fletcher,CWS,Outfielder,09/02/1997,"173cm, 84kg"
7,Edgar Quero,CWS,Catcher,04/06/2003,"178cm, 93kg"
55,Fraser Ellard,CWS,Pitcher,11/06/1997,"190cm, 100kg"
31,Grant Taylor,CWS,Pitcher,05/20/2002,"190cm, 104kg"
49,Jordan Leasure,CWS,Pitcher,08/15/1998,"190cm, 100kg"
26,Korey Lee,CWS,Catcher,07/25/1998,"183cm, 102kg"
8,Kyle Teel,CWS,Catcher,02/15/2002,"183cm, 95kg"
50,Lenyn Sosa,CWS,Second Base,01/25/2000,"180cm, 95kg"
54,Martín Pérez,CWS,Pitcher,04/04/1991,"183cm, 95kg"
21,Michael A. Taylor,CWS,Outfielder,03/26/1991,"193cm, 98kg"
20,Miguel Vargas,CWS,Third Base,11/17/1999,"188cm, 102kg"
18,Mike Tauchman,CWS,Outfielder,12/03/1990,"185cm, 98kg"
61,Mike Vasil,CWS,Pitcher,03/19/2000,"196cm, 102kg"
59,Sean Burke,CWS,Pitcher,12/18/1999,"198cm, 109kg"
64,Shane Smith,CWS,Pitcher,04/04/2000,"190cm, 109kg"
36,Steven Wilson,CWS,Pitcher,08/24/1994,"193cm, 100kg"
70,Tyler Alexander,CWS,Pitcher,07/14/1994,"185cm, 97kg"
40,Tyler Gilbert,CWS,Pitcher,12/22/1993,"190cm, 102kg"
66,Wikelman González,CWS,Pitcher,03/25/2002,"183cm, 100kg"
37,Will Robertson,CWS,Outfielder,12/26/1997,"185cm, 98kg"
94,Yoendrys Gómez,CWS,Pitcher,10/15/1999,"190cm, 96kg"
60,Adam Mazur,MIA,Pitcher,04/20/2001,"188cm, 82kg"
50,Agustín Ramírez,MIA,Catcher,09/10/2001,"185cm, 95kg"
70,Brian Navarreto,MIA,Catcher,12/29/1994,"183cm, 106kg"
